Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
NFATC1,aortic valve morphogenesis ; calcineurin-NFAT signaling cascade ; intracellular signal transduction ; negative regulation of vascular associated smooth muscle cell differentiation ; negative regulation of Wnt signaling pathway ; positive regulation of DNA-templated transcription ; positive regulation of transcription by RNA polymerase II ; pulmonary valve morphogenesis ,chromatin ; cytoplasm ; cytosol ; nuclear body ; nucleoplasm ; nucleus ; transcription regulator complex ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; FK506 binding ; mitogen-activated protein kinase p38 binding ; protein phosphatase 2B binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II-specific DNA-binding transcription factor binding ; sequence-specific double-stranded DNA binding ",
NFAT2,aortic valve morphogenesis ; calcineurin-NFAT signaling cascade ; intracellular signal transduction ; negative regulation of vascular associated smooth muscle cell differentiation ; negative regulation of Wnt signaling pathway ; positive regulation of DNA-templated transcription ; positive regulation of transcription by RNA polymerase II ; pulmonary valve morphogenesis ,chromatin ; cytoplasm ; cytosol ; nuclear body ; nucleoplasm ; nucleus ; transcription regulator complex ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; FK506 binding ; mitogen-activated protein kinase p38 binding ; protein phosphatase 2B binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II-specific DNA-binding transcription factor binding ; sequence-specific double-stranded DNA binding ",
NFATC,aortic valve morphogenesis ; calcineurin-NFAT signaling cascade ; intracellular signal transduction ; negative regulation of vascular associated smooth muscle cell differentiation ; negative regulation of Wnt signaling pathway ; positive regulation of DNA-templated transcription ; positive regulation of transcription by RNA polymerase II ; pulmonary valve morphogenesis ,chromatin ; cytoplasm ; cytosol ; nuclear body ; nucleoplasm ; nucleus ; transcription regulator complex ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; FK506 binding ; mitogen-activated protein kinase p38 binding ; protein phosphatase 2B binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II-specific DNA-binding transcription factor binding ; sequence-specific double-stranded DNA binding ",
NFATC2IP,positive regulation of transcription by RNA polymerase II ; protein sumoylation ,cytoplasm ; nucleus ,,
NIP45,positive regulation of transcription by RNA polymerase II ; protein sumoylation ,cytoplasm ; nucleus ,,
NFATC2,B cell receptor signaling pathway ; calcineurin-NFAT signaling cascade ; cartilage development ; cell migration ; cellular response to calcium ion ; DNA damage response ; lncRNA transcription ; myotube cell development ; negative regulation of vascular associated smooth muscle cell differentiation ; positive regulation of B cell proliferation ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; positive regulation of myoblast fusion ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; response to xenobiotic stimulus ; transcription by RNA polymerase II ,chromatin ; cytoplasm ; cytosol ; nucleoplasm ; nucleus ; ribonucleoprotein complex ; transcription factor AP-1 complex ; transcription regulator complex ,"14-3-3 protein binding ; chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; molecular adaptor activity ; phosphatase binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
NFAT1,B cell receptor signaling pathway ; calcineurin-NFAT signaling cascade ; cartilage development ; cell migration ; cellular response to calcium ion ; DNA damage response ; lncRNA transcription ; myotube cell development ; negative regulation of vascular associated smooth muscle cell differentiation ; positive regulation of B cell proliferation ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; positive regulation of myoblast fusion ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; response to xenobiotic stimulus ; transcription by RNA polymerase II ,chromatin ; cytoplasm ; cytosol ; nucleoplasm ; nucleus ; ribonucleoprotein complex ; transcription factor AP-1 complex ; transcription regulator complex ,"14-3-3 protein binding ; chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; molecular adaptor activity ; phosphatase binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
NFATP,B cell receptor signaling pathway ; calcineurin-NFAT signaling cascade ; cartilage development ; cell migration ; cellular response to calcium ion ; DNA damage response ; lncRNA transcription ; myotube cell development ; negative regulation of vascular associated smooth muscle cell differentiation ; positive regulation of B cell proliferation ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; positive regulation of myoblast fusion ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; response to xenobiotic stimulus ; transcription by RNA polymerase II ,chromatin ; cytoplasm ; cytosol ; nucleoplasm ; nucleus ; ribonucleoprotein complex ; transcription factor AP-1 complex ; transcription regulator complex ,"14-3-3 protein binding ; chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; molecular adaptor activity ; phosphatase binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
NFATC3,calcineurin-NFAT signaling cascade ; DN4 thymocyte differentiation ; inflammatory response ; negative regulation of miRNA transcription ; negative regulation of vascular associated smooth muscle cell differentiation ; positive regulation of artery morphogenesis ; positive regulation of nitric oxide biosynthetic process ; positive regulation of transcription by RNA polymerase II ; positive thymic T cell selection ; regulation of transcription by RNA polymerase II ,chromatin ; cytoplasm ; cytosol ; nucleoplasm ; nucleus ; transcription regulator complex ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
NFAT4,calcineurin-NFAT signaling cascade ; DN4 thymocyte differentiation ; inflammatory response ; negative regulation of miRNA transcription ; negative regulation of vascular associated smooth muscle cell differentiation ; positive regulation of artery morphogenesis ; positive regulation of nitric oxide biosynthetic process ; positive regulation of transcription by RNA polymerase II ; positive thymic T cell selection ; regulation of transcription by RNA polymerase II ,chromatin ; cytoplasm ; cytosol ; nucleoplasm ; nucleus ; transcription regulator complex ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
NFATC4,brain-derived neurotrophic factor receptor signaling pathway ; branching involved in blood vessel morphogenesis ; calcineurin-NFAT signaling cascade ; cellular respiration ; cellular response to lithium ion ; cellular response to UV ; dendrite morphogenesis ; heart development ; inflammatory response ; intrinsic apoptotic signaling pathway in response to DNA damage ; long-term memory ; long-term synaptic potentiation ; negative regulation of dendrite morphogenesis ; negative regulation of miRNA transcription ; negative regulation of neuron apoptotic process ; negative regulation of synapse maturation ; negative regulation of Wnt signaling pathway ; neuron apoptotic process ; positive regulation of apoptotic signaling pathway ; positive regulation of neuron apoptotic process ; positive regulation of transcription by RNA polymerase II ; positive regulation of tumor necrosis factor production ; synapse maturation ; transcription by RNA polymerase II ; vascular associated smooth muscle cell development ,chromatin ; cytosol ; nuclear speck ; nucleus ; transcription regulator complex ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",
NFAT3,brain-derived neurotrophic factor receptor signaling pathway ; branching involved in blood vessel morphogenesis ; calcineurin-NFAT signaling cascade ; cellular respiration ; cellular response to lithium ion ; cellular response to UV ; dendrite morphogenesis ; heart development ; inflammatory response ; intrinsic apoptotic signaling pathway in response to DNA damage ; long-term memory ; long-term synaptic potentiation ; negative regulation of dendrite morphogenesis ; negative regulation of miRNA transcription ; negative regulation of neuron apoptotic process ; negative regulation of synapse maturation ; negative regulation of Wnt signaling pathway ; neuron apoptotic process ; positive regulation of apoptotic signaling pathway ; positive regulation of neuron apoptotic process ; positive regulation of transcription by RNA polymerase II ; positive regulation of tumor necrosis factor production ; synapse maturation ; transcription by RNA polymerase II ; vascular associated smooth muscle cell development ,chromatin ; cytosol ; nuclear speck ; nucleus ; transcription regulator complex ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",
NFE2L1,anatomical structure morphogenesis ; cellular homeostasis ; cellular response to cholesterol ; cellular response to cold ; cellular response to copper ion ; cholesterol homeostasis ; cholesterol metabolic process ; cysteine transport ; erythrocyte differentiation ; fructose 6-phosphate metabolic process ; glial cell fate commitment ; glucose 6-phosphate metabolic process ; glutathione metabolic process ; heme biosynthetic process ; protein polyubiquitination ; regulation of fatty acid metabolic process ; regulation of glucose metabolic process ; regulation of inflammatory response ; regulation of mitotic nuclear division ; regulation of nucleus organization ; regulation of proteasomal protein catabolic process ; regulation of response to endoplasmic reticulum stress ; regulation of transcription by RNA polymerase II ; response to endoplasmic reticulum stress ; spinal cord motor neuron differentiation ,chromatin ; cytosol ; endoplasmic reticulum membrane ; nucleoplasm ; nucleus ; protein-containing complex ,"cholesterol binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; promoter-specific chromatin binding ; protein domain specific binding ; protein-containing complex binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ","BZIP family, CNC subfamily"
HBZ17,anatomical structure morphogenesis ; cellular homeostasis ; cellular response to cholesterol ; cellular response to cold ; cellular response to copper ion ; cholesterol homeostasis ; cholesterol metabolic process ; cysteine transport ; erythrocyte differentiation ; fructose 6-phosphate metabolic process ; glial cell fate commitment ; glucose 6-phosphate metabolic process ; glutathione metabolic process ; heme biosynthetic process ; protein polyubiquitination ; regulation of fatty acid metabolic process ; regulation of glucose metabolic process ; regulation of inflammatory response ; regulation of mitotic nuclear division ; regulation of nucleus organization ; regulation of proteasomal protein catabolic process ; regulation of response to endoplasmic reticulum stress ; regulation of transcription by RNA polymerase II ; response to endoplasmic reticulum stress ; spinal cord motor neuron differentiation ,chromatin ; cytosol ; endoplasmic reticulum membrane ; nucleoplasm ; nucleus ; protein-containing complex ,"cholesterol binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; promoter-specific chromatin binding ; protein domain specific binding ; protein-containing complex binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ","BZIP family, CNC subfamily"
NRF1,anatomical structure morphogenesis ; cellular homeostasis ; cellular response to cholesterol ; cellular response to cold ; cellular response to copper ion ; cholesterol homeostasis ; cholesterol metabolic process ; cysteine transport ; erythrocyte differentiation ; fructose 6-phosphate metabolic process ; glial cell fate commitment ; glucose 6-phosphate metabolic process ; glutathione metabolic process ; heme biosynthetic process ; protein polyubiquitination ; regulation of fatty acid metabolic process ; regulation of glucose metabolic process ; regulation of inflammatory response ; regulation of mitotic nuclear division ; regulation of nucleus organization ; regulation of proteasomal protein catabolic process ; regulation of response to endoplasmic reticulum stress ; regulation of transcription by RNA polymerase II ; response to endoplasmic reticulum stress ; spinal cord motor neuron differentiation ,chromatin ; cytosol ; endoplasmic reticulum membrane ; nucleoplasm ; nucleus ; protein-containing complex ,"cholesterol binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; promoter-specific chromatin binding ; protein domain specific binding ; protein-containing complex binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ","BZIP family, CNC subfamily"
TCF11,anatomical structure morphogenesis ; cellular homeostasis ; cellular response to cholesterol ; cellular response to cold ; cellular response to copper ion ; cholesterol homeostasis ; cholesterol metabolic process ; cysteine transport ; erythrocyte differentiation ; fructose 6-phosphate metabolic process ; glial cell fate commitment ; glucose 6-phosphate metabolic process ; glutathione metabolic process ; heme biosynthetic process ; protein polyubiquitination ; regulation of fatty acid metabolic process ; regulation of glucose metabolic process ; regulation of inflammatory response ; regulation of mitotic nuclear division ; regulation of nucleus organization ; regulation of proteasomal protein catabolic process ; regulation of response to endoplasmic reticulum stress ; regulation of transcription by RNA polymerase II ; response to endoplasmic reticulum stress ; spinal cord motor neuron differentiation ,chromatin ; cytosol ; endoplasmic reticulum membrane ; nucleoplasm ; nucleus ; protein-containing complex ,"cholesterol binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; promoter-specific chromatin binding ; protein domain specific binding ; protein-containing complex binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ","BZIP family, CNC subfamily"
NFE2L2,aflatoxin catabolic process ; cell redox homeostasis ; cellular response to angiotensin ; cellular response to copper ion ; cellular response to fluid shear stress ; cellular response to glucose starvation ; cellular response to hydrogen peroxide ; cellular response to hypoxia ; cellular response to laminar fluid shear stress ; cellular response to methionine ; cellular response to oxidative stress ; cellular response to tumor necrosis factor ; cellular response to xenobiotic stimulus ; endoplasmic reticulum unfolded protein response ; inflammatory response ; integrated stress response signaling ; negative regulation of cardiac muscle cell apoptotic process ; negative regulation of cellular response to hypoxia ; negative regulation of endothelial cell apoptotic process ; negative regulation of ferroptosis ; negative regulation of hematopoietic stem cell differentiation ; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway ; negative regulation of vascular associated smooth muscle cell migration ; PERK-mediated unfolded protein response ; positive regulation of angiogenesis ; positive regulation of blood coagulation ; positive regulation of blood vessel endothelial cell migration ; positive regulation of D-glucose import ; positive regulation of DNA-templated transcription ; positive regulation of ERAD pathway ; positive regulation of gene expression ; positive regulation of glutathione biosynthetic process ; positive regulation of neuron projection development ; positive regulation of reactive oxygen species metabolic process ; positive regulation of transcription by RNA polymerase II ; positive regulation of ubiquitin-dependent protein catabolic process ; proteasomal ubiquitin-independent protein catabolic process ; proteasome-mediated ubiquitin-dependent protein catabolic process ; protein ubiquitination ; reactive oxygen species metabolic process ; regulation of cellular response to oxidative stress ; regulation of embryonic development ; regulation of innate immune response ; regulation of removal of superoxide radicals ; regulation of transcription by RNA polymerase II ; response to ischemia ; response to oxidative stress ,centrosome ; chromatin ; ciliary basal body ; cytoplasm ; cytosol ; Golgi apparatus ; mediator complex ; nucleoplasm ; nucleus ; plasma membrane ; protein-DNA complex ; RNA polymerase II transcription regulator complex ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; molecular condensate scaffold activity ; protein domain specific binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II-specific DNA-binding transcription factor binding ; sequence-specific DNA binding ; transcription cis-regulatory region binding ; transcription coregulator binding ; ubiquitin protein ligase binding ","BZIP family, CNC subfamily"
NRF2,aflatoxin catabolic process ; cell redox homeostasis ; cellular response to angiotensin ; cellular response to copper ion ; cellular response to fluid shear stress ; cellular response to glucose starvation ; cellular response to hydrogen peroxide ; cellular response to hypoxia ; cellular response to laminar fluid shear stress ; cellular response to methionine ; cellular response to oxidative stress ; cellular response to tumor necrosis factor ; cellular response to xenobiotic stimulus ; endoplasmic reticulum unfolded protein response ; inflammatory response ; integrated stress response signaling ; negative regulation of cardiac muscle cell apoptotic process ; negative regulation of cellular response to hypoxia ; negative regulation of endothelial cell apoptotic process ; negative regulation of ferroptosis ; negative regulation of hematopoietic stem cell differentiation ; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway ; negative regulation of vascular associated smooth muscle cell migration ; PERK-mediated unfolded protein response ; positive regulation of angiogenesis ; positive regulation of blood coagulation ; positive regulation of blood vessel endothelial cell migration ; positive regulation of D-glucose import ; positive regulation of DNA-templated transcription ; positive regulation of ERAD pathway ; positive regulation of gene expression ; positive regulation of glutathione biosynthetic process ; positive regulation of neuron projection development ; positive regulation of reactive oxygen species metabolic process ; positive regulation of transcription by RNA polymerase II ; positive regulation of ubiquitin-dependent protein catabolic process ; proteasomal ubiquitin-independent protein catabolic process ; proteasome-mediated ubiquitin-dependent protein catabolic process ; protein ubiquitination ; reactive oxygen species metabolic process ; regulation of cellular response to oxidative stress ; regulation of embryonic development ; regulation of innate immune response ; regulation of removal of superoxide radicals ; regulation of transcription by RNA polymerase II ; response to ischemia ; response to oxidative stress ,centrosome ; chromatin ; ciliary basal body ; cytoplasm ; cytosol ; Golgi apparatus ; mediator complex ; nucleoplasm ; nucleus ; plasma membrane ; protein-DNA complex ; RNA polymerase II transcription regulator complex ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; molecular condensate scaffold activity ; protein domain specific binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II-specific DNA-binding transcription factor binding ; sequence-specific DNA binding ; transcription cis-regulatory region binding ; transcription coregulator binding ; ubiquitin protein ligase binding ","BZIP family, CNC subfamily"
NFE2L3,integrated stress response signaling ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; nucleus ; RNA polymerase II transcription regulator complex ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ","BZIP family, CNC subfamily"
NRF3,integrated stress response signaling ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; nucleus ; RNA polymerase II transcription regulator complex ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ","BZIP family, CNC subfamily"
NFE2,hemostasis ; integrated stress response signaling ; nucleosome disassembly ; positive regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,chromatin ; cytoplasm ; nucleoplasm ; nucleus ; PML body ; protein-DNA complex ; RNA polymerase II transcription regulator complex ,"DNA binding ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; WW domain binding ","BZIP family, CNC subfamily"
NFIA,BMP signaling pathway ; cartilage development ; cell morphogenesis ; DNA replication ; exit from mitosis ; gene expression ; glial cell fate specification ; glial cell proliferation ; limb morphogenesis ; neural precursor cell proliferation ; neuron fate specification ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; response to wounding ; retina development in camera-type eye ; synapse maturation ; ureter development ; viral genome replication ,cell junction ; chromatin ; nucleoplasm ; nucleus ,"chromatin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription factor binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",CTF/NF-I family
KIAA1439,BMP signaling pathway ; cartilage development ; cell morphogenesis ; DNA replication ; exit from mitosis ; gene expression ; glial cell fate specification ; glial cell proliferation ; limb morphogenesis ; neural precursor cell proliferation ; neuron fate specification ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; response to wounding ; retina development in camera-type eye ; synapse maturation ; ureter development ; viral genome replication ,cell junction ; chromatin ; nucleoplasm ; nucleus ,"chromatin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription factor binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",CTF/NF-I family
NFIB,anterior commissure morphogenesis ; brain development ; cell differentiation involved in salivary gland development ; cell proliferation in forebrain ; chondrocyte differentiation ; club cell differentiation ; commissural neuron axon guidance ; DNA replication ; exit from mitosis ; gene expression ; glandular epithelial cell differentiation ; glial cell differentiation ; glial cell fate specification ; glial cell proliferation ; hindbrain development ; lung ciliated cell differentiation ; negative regulation of DNA binding ; negative regulation of epithelial cell proliferation involved in lung morphogenesis ; negative regulation of mesenchymal cell proliferation involved in lung development ; negative regulation of miRNA transcription ; negative regulation of stem cell proliferation ; negative regulation of transcription by RNA polymerase II ; neuron fate specification ; positive regulation of DNA-templated transcription ; positive regulation of transcription by RNA polymerase II ; principal sensory nucleus of trigeminal nerve development ; regeneration ; regulation of transcription by RNA polymerase II ; response to bacterium ; response to wounding ; retina development in camera-type eye ; salivary gland cavitation ; stem cell population maintenance ; stem cell proliferation ; tissue homeostasis ; type I pneumocyte differentiation ; type II pneumocyte differentiation ,cerebellar mossy fiber ; chromatin ; fibrillar center ; nucleoplasm ; nucleus ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription regulator inhibitor activity ",CTF/NF-I family
NFIC,DNA replication ; negative regulation of transcription by RNA polymerase II ; odontogenesis of dentin-containing tooth ; positive regulation of transcription by RNA polymerase II ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; fibrillar center ; nucleoplasm ; nucleus ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",CTF/NF-I family
NFI,DNA replication ; negative regulation of transcription by RNA polymerase II ; odontogenesis of dentin-containing tooth ; positive regulation of transcription by RNA polymerase II ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; fibrillar center ; nucleoplasm ; nucleus ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",CTF/NF-I family
NFIL3,cellular response to interleukin-4 ; circadian rhythm ; immune response ; natural killer cell differentiation ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; nucleus ; RNA polymerase II transcription regulator complex ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; identical protein binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II transcription regulatory region sequence-specific DNA binding ","BZIP family, NFIL3 subfamily"
E4BP4,cellular response to interleukin-4 ; circadian rhythm ; immune response ; natural killer cell differentiation ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; nucleus ; RNA polymerase II transcription regulator complex ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; identical protein binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II transcription regulatory region sequence-specific DNA binding ","BZIP family, NFIL3 subfamily"
IL3BP1,cellular response to interleukin-4 ; circadian rhythm ; immune response ; natural killer cell differentiation ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; nucleus ; RNA polymerase II transcription regulator complex ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; identical protein binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II transcription regulatory region sequence-specific DNA binding ","BZIP family, NFIL3 subfamily"
NFIX,DNA replication ; negative regulation of transcription by RNA polymerase II ; positive regulation of transcription by RNA polymerase II ; regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,chromatin ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",CTF/NF-I family
NFKB1,antibacterial innate immune response ; apoptotic process ; B cell receptor signaling pathway ; canonical NF-kappaB signal transduction ; cellular response to angiotensin ; cellular response to dsRNA ; cellular response to interleukin-17 ; cellular response to interleukin-6 ; cellular response to lipopolysaccharide ; cellular response to mechanical stimulus ; cellular response to nicotine ; cellular response to virus ; inflammatory response ; JNK cascade ; mammary gland involution ; negative regulation of apoptotic process ; negative regulation of cytokine production involved in inflammatory response ; negative regulation of gene expression ; negative regulation of inflammatory response ; negative regulation of interleukin-12 production ; negative regulation of transcription by RNA polymerase II ; negative regulation of vitamin D biosynthetic process ; non-canonical NF-kappaB signal transduction ; positive regulation of canonical Wnt signaling pathway ; positive regulation of cholesterol efflux ; positive regulation of DNA-templated transcription ; positive regulation of hyaluronan biosynthetic process ; positive regulation of lipid storage ; positive regulation of macrophage derived foam cell differentiation ; positive regulation of miRNA metabolic process ; positive regulation of transcription by RNA polymerase II ; positive regulation of transcription initiation by RNA polymerase II ; regulation of transcription by RNA polymerase II ; response to muscle stretch ; signal transduction involved in regulation of gene expression ; transcription by RNA polymerase II ; tumor necrosis factor-mediated signaling pathway ,chromatin ; cytoplasm ; cytosol ; extracellular region ; I-kappaB/NF-kappaB complex ; mitochondrion ; NF-kappaB p50/p65 complex ; nucleoplasm ; nucleus ; secretory granule lumen ; specific granule lumen ; transcription regulator complex ,"actinin binding ; chromatin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; identical protein binding ; protein sequestering activity ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II transcription regulatory region sequence-specific DNA binding ; transcription cis-regulatory region binding ; transcription coregulator activity ",
