Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
KIAA0083,"base-excision repair ; DNA double-strand break processing ; DNA geometric change ; DNA replication ; DNA replication checkpoint signaling ; DNA replication, Okazaki fragment processing ; DNA replication, removal of RNA primer ; mitochondrial DNA repair ; mitochondrial DNA replication ; mitotic telomere maintenance via semi-conservative replication ; positive regulation of DNA replication ; replication fork reversal ; t-circle formation ; telomere maintenance ; telomere maintenance via semi-conservative replication ","chromosome, telomeric region ; cytoplasm ; mitochondrial nucleoid ; mitochondrion ; nucleoplasm ; nucleus ","4 iron, 4 sulfur cluster binding ; 5'-3' DNA helicase activity ; 5'-flap endonuclease activity ; ATP binding ; ATP hydrolysis activity ; DNA binding ; DNA helicase activity ; helicase activity ; metal ion binding ; nuclease activity ; RNA binding ; single-stranded DNA helicase activity ; site-specific endodeoxyribonuclease activity, specific for altered base ",DNA2/NAM7 helicase family
DNAAF1,axonemal dynein complex assembly ; axoneme assembly ; cilium assembly ; cilium movement ; determination of digestive tract left/right asymmetry ; determination of liver left/right asymmetry ; determination of pancreatic left/right asymmetry ; epithelial cilium movement involved in determination of left/right asymmetry ; heart looping ; inner dynein arm assembly ; left/right pattern formation ; lung development ; motile cilium assembly ; outer dynein arm assembly ; regulation of cilium beat frequency ,axoneme ; cytoplasm ; extracellular region ; spindle pole ,dynein complex binding ,DNAAF1 family
LRRC50,axonemal dynein complex assembly ; axoneme assembly ; cilium assembly ; cilium movement ; determination of digestive tract left/right asymmetry ; determination of liver left/right asymmetry ; determination of pancreatic left/right asymmetry ; epithelial cilium movement involved in determination of left/right asymmetry ; heart looping ; inner dynein arm assembly ; left/right pattern formation ; lung development ; motile cilium assembly ; outer dynein arm assembly ; regulation of cilium beat frequency ,axoneme ; cytoplasm ; extracellular region ; spindle pole ,dynein complex binding ,DNAAF1 family
DNAAF2,axonemal dynein complex assembly ; cilium-dependent cell motility ; epithelial cilium movement involved in extracellular fluid movement ; establishment of left/right asymmetry ; establishment of localization in cell ; in utero embryonic development ; inner dynein arm assembly ; outer dynein arm assembly ; protein stabilization ; response to retinoic acid ,ciliary basal body ; cilium ; cytoplasm ; cytosol ; dynein axonemal particle ; extracellular region ; Golgi apparatus ; nucleolus ; nucleoplasm ; protein folding chaperone complex ,,"PIH1 family, Kintoun subfamily"
C14orf104,axonemal dynein complex assembly ; cilium-dependent cell motility ; epithelial cilium movement involved in extracellular fluid movement ; establishment of left/right asymmetry ; establishment of localization in cell ; in utero embryonic development ; inner dynein arm assembly ; outer dynein arm assembly ; protein stabilization ; response to retinoic acid ,ciliary basal body ; cilium ; cytoplasm ; cytosol ; dynein axonemal particle ; extracellular region ; Golgi apparatus ; nucleolus ; nucleoplasm ; protein folding chaperone complex ,,"PIH1 family, Kintoun subfamily"
KTU,axonemal dynein complex assembly ; cilium-dependent cell motility ; epithelial cilium movement involved in extracellular fluid movement ; establishment of left/right asymmetry ; establishment of localization in cell ; in utero embryonic development ; inner dynein arm assembly ; outer dynein arm assembly ; protein stabilization ; response to retinoic acid ,ciliary basal body ; cilium ; cytoplasm ; cytosol ; dynein axonemal particle ; extracellular region ; Golgi apparatus ; nucleolus ; nucleoplasm ; protein folding chaperone complex ,,"PIH1 family, Kintoun subfamily"
DNAAF3,axonemal dynein complex assembly ; brain development ; cell morphogenesis ; cerebrospinal fluid circulation ; determination of adult lifespan ; determination of left/right symmetry ; heart development ; lung development ; motile cilium assembly ; multicellular organism growth ; seminiferous tubule development ; spermatogenesis ,dynein axonemal particle ; extracellular region ,,DNAAF3 family
C19orf51,axonemal dynein complex assembly ; brain development ; cell morphogenesis ; cerebrospinal fluid circulation ; determination of adult lifespan ; determination of left/right symmetry ; heart development ; lung development ; motile cilium assembly ; multicellular organism growth ; seminiferous tubule development ; spermatogenesis ,dynein axonemal particle ; extracellular region ,,DNAAF3 family
DNAH10OS,,,,
DNAH10,cilium movement involved in cell motility ,9+2 motile cilium ; axoneme ; dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
KIAA2017,cilium movement involved in cell motility ,9+2 motile cilium ; axoneme ; dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DNAH11,cardiac septum morphogenesis ; cilium movement involved in cell motility ; determination of left/right asymmetry in nervous system ; determination of left/right symmetry ; epithelial cilium movement involved in determination of left/right asymmetry ; flagellated sperm motility ; learning or memory ; protein localization to motile cilium ; regulation of cilium beat frequency ,9+0 motile cilium ; 9+2 motile cilium ; axoneme ; dynein complex ; extracellular region ; microtubule ; motile cilium ; proximal portion of axoneme ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DNAH12,microtubule-based movement ,axonemal dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DHC3,microtubule-based movement ,axonemal dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DLP12,microtubule-based movement ,axonemal dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DNAH12L,microtubule-based movement ,axonemal dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DNAH7L,microtubule-based movement ,axonemal dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
DNAHC3,microtubule-based movement ,axonemal dynein complex ; microtubule ,ATP binding ; ATP hydrolysis activity ; dynein intermediate chain binding ; dynein light intermediate chain binding ; minus-end-directed microtubule motor activity ,Dynein heavy chain family
